"country","region","region_orig","regionhash","speciescode","speciesname","assessment_speciescode","assessment_speciesname","tax_group","presence","annex_II_priority","annex_II","annex_IV","annex_V","comments_annex_II","comments_annex_IV","comments_annex_V"
"HU","PAN","PAN","48dc2e600cd8cbe5af5e12744329a4c4",1261,"Lacerta agilis",1261,"Lacerta agilis","Reptiles","1","N","N","Y","N","","",""
"FR","MMED","MMED","48faac868f14f892cf9c596fa2a2b1c8",1001,"Corallium rubrum",1001,"Corallium rubrum","Other invertebrates","1","N","N","N","Y","","",""
"PL","CON","CON","490b0e2d6c281dd39ce3a299fa76aabf",1109,"Thymallus thymallus",1109,"Thymallus thymallus","Fish","1","N","N","N","Y","","",""
"SK","ALP","ALP","4915519c46072b24a9e83bf97158d506",1193,"Bombina variegata",1193,"Bombina variegata","Amphibians","1","N","Y","Y","N","","",""
"PT","ATL","ATL","4940d5c6c40c50c7cc442d33e94f3639",1849,"Ruscus aculeatus",1849,"Ruscus aculeatus","Vascular plants","1","N","N","N","Y","","",""
"IT","CON","CON","494643da9933deaae5f50b65660888d2",1281,"Elaphe longissima",1281,"Elaphe longissima","Reptiles","1","N","N","Y","N","","",""
"CZ","CON","CON","495fa5e73245b463ad8feff14344f933",1263,"Lacerta viridis",1263,"Lacerta viridis","Reptiles","1","N","N","Y","N","","",""
"FI","ALP","ALP","496de840ddd2dd83cb57e8de290f0d28",1354,"Ursus arctos",1354,"Ursus arctos","Mammals","1","N","N","Y","N","Annex II : except the Estonian, Finnish, and Swedish populations","",""
"AT","CON","CON","497bcbd0ece7e291a30f628903981cf7",1139,"Rutilus frisii meidingeri",1139,"Rutilus frisii meidingeri","Fish","1","N","Y","N","Y","","",""
"RO","CON","CON","497ce2ddd0072f0eef933df93b0c4603",4012,"Carabus hampei",4012,"Carabus hampei","Arthropods","1","N","Y","Y","N","","",""
"IT","ALP","ALP","",1115,"Chondrostoma genei",1115,"Chondrostoma genei","Fish","MAR","N","Y","N","N","","",""
"ES","MED","MED","49b8efb572c23ea3d9e0c96cb7a7d2d2",1813,"Leuzea rhaponticoides",1813,"Leuzea rhaponticoides","Vascular plants","1","N","N","N","Y","","",""
"LU","CON","CON","49d7fe6639cd9ddb450dd15050fbab24",1041,"Oxygastra curtisii",1041,"Oxygastra curtisii","Arthropods","1","N","Y","Y","N","","",""
"CY","MMED","MMED","49de723b65a48484b50080863da4f872",1227,"Chelonia mydas",1227,"Chelonia mydas","Reptiles","1","Y","Y","Y","N","","",""
"PL","ALP","ALP","49e359cc7cd73857149eb586d337b70f",2484,"Eudontomyzon mariae",2484,"Eudontomyzon mariae","Fish","1","N","Y-HTL","N","N","","",""
"ES","MMAC","MMAC","49f4bf6f891555332b3bc7a7c19b3398",2619,"Balaenoptera borealis",2619,"Balaenoptera borealis","Mammals","OCC","N","N","Y-HTL","N","","",""
"ES","MAC","MAC","49f9c06eed7f9150d880f9a09731327a",1677,"Echium gentianoides",1677,"Echium gentianoides","Vascular plants","1","Y","Y","Y","N","","",""
"BG","CON","CON","4a25f698cc67e8f7fe1876032fe96219",1171,"Triturus karelinii",1171,"Triturus karelinii","Amphibians","1","N","Y","Y","N","","",""
"PT","ATL","ATL","4a2a8f5d799584f1dd32dd91eeb1b5e5",1874,"Iris boissieri",1874,"Iris boissieri","Vascular plants","1","N","N","Y","N","","",""
"BG","CON","CON","4a362cd1b15e4ed4241e1a8fddd18841",1355,"Lutra lutra",1355,"Lutra lutra","Mammals","1","N","Y","Y","N","","",""
